date,true_adj,pred_adj,true_raw,pred_raw
2019-11-07 10:00:00,-0.2282164474174643,-1.0431275388739858,1.294624201110469e-07,3.915865955198349e-06
2019-11-07 10:30:00,-0.9219802199113134,-0.5830522661126072,1.6562562627001302e-06,1.611716550913175e-06
2019-11-07 11:00:00,0.003705626865939886,-0.8064672805303952,2.117001015315104e-11,1.7538718992990584e-06
2019-11-07 11:30:00,-0.8024160923211681,-0.41159758615153874,7.31997600221072e-07,7.465259447011244e-07
2019-11-07 12:00:00,0.9856813754715301,-0.720492256171444,1.4562446378236226e-06,1.5083743947019196e-06
2019-11-07 12:30:00,0.217347338980871,0.08597975840506128,5.6035176168934165e-08,5.867231651595749e-07
2019-11-07 13:00:00,-0.78978491332269,-0.13634962545959436,6.404974274688151e-07,5.19402303026889e-07
2019-11-07 13:30:00,-1.6436944326184781,-0.49399405184949197,2.7417422445834785e-06,7.420979980728273e-07
2019-11-07 14:00:00,-0.7543903934250863,-0.8805774561083654,4.360785118263662e-07,9.675135738298488e-07
2019-11-07 14:30:00,-1.6366456894201185,-0.5314138317036925,4.2237583967646475e-06,1.2136033184745096e-06
2019-11-07 15:00:00,1.6425012606669445,-1.0300184028523867,2.6921842919566167e-06,1.544947567535983e-06
2019-11-07 15:30:00,0.45647161002013825,0.2988831550899693,1.915465984057529e-07,5.300276176384898e-07
2019-11-07 16:00:00,-0.2877647735902055,-0.009695903879568035,2.5395699212090837e-07,1.494548794816415e-06
2019-11-08 10:00:00,0.6801639843525997,-0.22525618471333453,1.0539220769869734e-06,1.2255929569828302e-06
2019-11-08 10:30:00,0.609318203416448,0.23341144472735598,6.929792875221444e-07,1.0111280471504095e-06
2019-11-08 11:00:00,-0.7732977392990886,0.2905092699744799,8.926709729826243e-07,8.533278401994414e-07
2019-11-08 11:30:00,-0.1436379123338671,-0.35062729431580764,2.1823661915794667e-08,6.454250834098155e-07
2019-11-08 12:00:00,-1.3187001324070493,-0.14645414306295446,2.833409657487652e-06,8.288348150014754e-07
2019-11-08 12:30:00,-1.195942214624021,-0.6997118696077036,1.7002169248745865e-06,1.161194963058642e-06
2019-11-08 13:00:00,-1.2147653424498073,-0.7633201307926526,1.4328844307812112e-06,1.0388860131648526e-06
2019-11-08 13:30:00,-1.2028965098514965,-0.8695367088887793,1.4171550756099518e-06,1.2177218098035664e-06
2019-11-08 14:00:00,-1.2686502819372971,-0.8787354066063535,1.0032756501474491e-06,7.850639096556731e-07
2019-11-08 14:30:00,-1.377791031237862,-0.9409230757027953,1.8085296093753968e-06,1.3076600179129917e-06
2019-11-08 15:00:00,-1.8054036407035028,-0.9689782994652907,3.6993294330744485e-06,1.6186083792288756e-06
2019-11-08 15:30:00,-0.713667263842929,-1.1902744533919831,4.338094775149952e-07,1.6217074057493787e-06
2019-11-08 16:00:00,-1.3223820900781473,-0.7666194397809716,5.274767525182799e-06,3.2424635322537064e-06
2019-11-11 10:00:00,-0.27997744083732046,-1.0038057834877838,1.806966968764971e-07,3.4459257232282683e-06
2019-11-11 10:30:00,-1.6908306022837571,-0.37321057017461096,5.5621022243297864e-06,1.2189243658143104e-06
2019-11-11 11:00:00,-1.1065619867566332,-0.9539966283328953,1.7760499398934173e-06,2.0267874536478556e-06
2019-11-11 11:30:00,-0.8346605899831167,-0.7082702315538236,7.082477047838295e-07,1.0053357962910665e-06
2019-11-11 12:00:00,-1.588502311976964,-0.6505463902023367,3.9011591053160045e-06,1.4075814212221375e-06
2019-11-11 12:30:00,-1.350892235608057,-1.0333390455231888,1.942502288617314e-06,1.6552298178557624e-06
2019-11-11 13:00:00,-1.7817394239224116,-1.0274763478425664,2.0225465324981997e-06,9.830165891084027e-07
