date,true_adj,pred_adj,naive_adj,true_raw,pred_raw,naive_raw
2019-06-26 12:30:00,-5.342883098978629e-07,9.605181503502536e-07,1.4990267827671064e-07,7.879128644156659e-07,2.2827193246637824e-06,1.4721038525902395e-06
2019-06-26 13:00:00,-8.52949239881581e-07,9.605181503502536e-07,-5.342883098978629e-07,4.328293568841727e-07,2.2462967471160072e-06,7.514902868678908e-07
2019-06-26 13:30:00,-3.4001823634294384e-07,9.605181503502536e-07,-8.52949239881581e-07,8.700256954475489e-07,2.1705620821407463e-06,3.570946919089117e-07
2019-06-26 14:00:00,5.2699446751349185e-08,9.605181503502536e-07,-3.4001823634294384e-07,1.235815419063746e-06,2.1436341226626504e-06,8.43097735969453e-07
2019-06-26 14:30:00,-3.373486726903728e-07,9.605181503502536e-07,5.2699446751349185e-08,9.198672869534908e-07,2.217734109994117e-06,1.3099154063952128e-06
2019-06-27 10:30:00,-8.506691302060181e-07,9.562065770296613e-07,-3.373486726903728e-07,1.5092503479500746e-06,3.316126055185754e-06,2.0225708054657197e-06
2019-06-27 11:00:00,-3.5423030205467465e-07,9.562065770296613e-07,-8.506691302060181e-07,1.9732139267126706e-06,3.2836508057970065e-06,1.4767750985613271e-06
2019-06-27 11:30:00,1.9613148582595386e-06,9.562065770296613e-07,-3.5423030205467465e-07,3.917241963566033e-06,2.912133682336156e-06,1.6016968032518201e-06
2019-06-27 12:00:00,-7.127676960846863e-07,9.562065770296613e-07,1.9613148582595386e-06,9.599842015239554e-07,2.628958474638303e-06,3.6340667558681803e-06
2019-06-27 12:30:00,-4.02149564650452e-07,9.562065770296613e-07,-7.127676960846863e-07,8.7139274135582e-07,2.2297488830359332e-06,5.607746099215857e-07
2019-06-27 13:00:00,-5.718729105396257e-07,9.556670192978345e-07,-4.02149564650452e-07,5.945164209752398e-07,2.1220563508127e-06,7.642397668644135e-07
2019-06-27 13:30:00,-5.546880856349697e-07,9.556670192978345e-07,-5.718729105396257e-07,5.615947234694546e-07,2.071949828402259e-06,5.444098985647986e-07
2019-06-27 14:00:00,-7.869710049656122e-07,9.556670192978345e-07,-5.546880856349697e-07,3.961449673467847e-07,2.1387829916102313e-06,6.284278866774271e-07
2019-06-27 14:30:00,-9.505367618311758e-07,9.556670192978345e-07,-7.869710049656122e-07,2.1669726551431524e-07,2.1229010466433256e-06,3.802630223798789e-07
2019-06-28 10:30:00,-1.8617144880763608e-06,9.556670192978345e-07,-9.505367618311758e-07,4.982049900797319e-07,3.315586497453927e-06,1.4093827163249167e-06
2019-06-28 11:00:00,-1.0478205145787264e-06,9.546270121063571e-07,-1.8617144880763608e-06,9.363176436236606e-07,2.938765170308744e-06,1.224236701260262e-07
2019-06-28 11:30:00,-9.61868130154105e-07,9.546270121063571e-07,-1.0478205145787264e-06,9.940589751523898e-07,2.910554117412852e-06,9.081065907277684e-07
2019-06-28 12:00:00,-1.0247900323339806e-06,9.546270121063571e-07,-9.61868130154105e-07,4.7156481105345117e-07,2.4509818554937887e-06,5.344867132333268e-07
2019-06-28 12:30:00,-1.481549012346458e-07,9.546270121063571e-07,-1.0247900323339806e-06,1.0882467811011529e-06,2.191028694442156e-06,2.1161165000181808e-07
2019-06-28 13:00:00,-8.124903166667315e-07,9.546270121063571e-07,-1.481549012346458e-07,2.564550048028996e-07,2.0235723335759882e-06,9.207904202349853e-07
2019-06-28 13:30:00,-7.89346266981038e-07,9.531648856864194e-07,-8.124903166667315e-07,2.351667538671525e-07,1.9776779065346098e-06,2.1202270418145905e-07
2019-06-28 14:00:00,-4.844608055532425e-07,9.531648856864194e-07,-7.89346266981038e-07,5.155259085799924e-07,1.9531515998196544e-06,2.106404471521969e-07
2019-06-28 14:30:00,-4.5970834859410554e-07,9.531648856864194e-07,-4.844608055532425e-07,5.400951007930942e-07,1.9529683350736192e-06,5.153426438339573e-07
2019-07-01 10:30:00,2.130098172687003e-07,9.531648856864194e-07,-4.5970834859410554e-07,2.459826503367161e-06,3.1999815717848802e-06,1.7871083375043553e-06
2019-07-01 11:00:00,-4.241951839646385e-07,9.531648856864194e-07,2.130098172687003e-07,1.436050878758322e-06,2.81341094840938e-06,2.0732558799916607e-06
2019-07-01 11:30:00,-3.746906582808363e-07,9.519510513200657e-07,-4.241951839646385e-07,1.4949743749423094e-06,2.8216160845432112e-06,1.4454698492585072e-06
2019-07-01 12:00:00,5.665834719440185e-07,9.519510513200657e-07,-3.746906582808363e-07,1.930435933955604e-06,2.315803513331651e-06,9.891618037307491e-07
2019-07-01 12:30:00,6.811116423331468e-08,9.519510513200657e-07,5.665834719440185e-07,1.281831035102142e-06,2.165670922188893e-06,1.7803033428128458e-06
2019-07-01 13:00:00,-3.750790470842325e-08,9.519510513200657e-07,6.811116423331468e-08,8.530492176328857e-07,1.8425081736613748e-06,9.586682865746235e-07
2019-07-01 13:30:00,1.207149585258945e-06,9.519510513200657e-07,-3.750790470842325e-08,2.1441881975011246e-06,1.8889896635622454e-06,8.995307075337564e-07
2019-07-01 14:00:00,2.582338162811753e-07,9.522552772978088e-07,1.207149585258945e-06,1.0572630500778451e-06,1.7512845110944786e-06,2.006178819055615e-06
2019-07-01 14:30:00,1.925188605068523e-07,9.522552772978088e-07,2.582338162811753e-07,1.0232984905861396e-06,1.7830349073770961e-06,1.0890134463604626e-06
2019-07-02 10:30:00,-6.432108317516177e-07,9.522552772978088e-07,1.925188605068523e-07,1.603605854346843e-06,3.1990719633962696e-06,2.439335546605313e-06
2019-07-02 11:00:00,-5.558557936612273e-07,9.522552772978088e-07,-6.432108317516177e-07,1.157009506694517e-06,2.665120577653553e-06,1.0696544686041265e-06
2019-07-02 11:30:00,-1.1795663584812653e-06,9.522552772978088e-07,-5.558557936612273e-07,6.413585183397731e-07,2.773180154118847e-06,1.2650690831598111e-06
2019-07-02 12:00:00,2.797141039281093e-08,9.50782975905895e-07,-1.1795663584812653e-06,1.3918238724043963e-06,2.31463543791748e-06,1.842861035303201e-07
2019-07-02 12:30:00,3.226793637226844e-07,9.50782975905895e-07,2.797141039281093e-08,1.5363992345915117e-06,2.1645028467747223e-06,1.2416912812616382e-06
2019-07-02 13:00:00,1.330297615990416e-07,9.50782975905895e-07,3.226793637226844e-07,9.29134914727914e-07,1.7468881290347675e-06,1.1187845168515569e-06
2019-07-02 13:30:00,-2.303428481332847e-07,9.50782975905895e-07,1.330297615990416e-07,7.066957641088949e-07,1.8878215881480746e-06,1.0700683738412211e-06
2019-07-02 14:00:00,-1.3364644836247622e-07,9.50782975905895e-07,-2.303428481332847e-07,6.653827854341936e-07,1.7498122097025648e-06,5.686863856633851e-07
2019-07-02 14:30:00,-4.808762438092617e-07,9.505089906269859e-07,-1.3364644836247622e-07,3.4990338627002566e-07,1.7812886207062732e-06,6.971331817168111e-07
2019-07-03 10:30:00,-1.4360472475912102e-06,9.505089906269859e-07,-4.808762438092617e-07,6.58283149037e-07,3.044839387255196e-06,1.6134541528189485e-06
2019-07-03 11:00:00,-8.732196354247472e-07,9.505089906269859e-07,-1.4360472475912102e-06,7.108072341383899e-07,2.534535860190123e-06,1.4797962197192688e-07
2019-07-03 11:30:00,-1.2078957188276806e-06,9.505089906269859e-07,-8.732196354247472e-07,5.904611670881608e-07,2.7488658765428274e-06,9.251372504910942e-07
2019-07-03 12:00:00,-7.148294077282577e-07,9.505089906269859e-07,-1.2078957188276806e-06,6.479130524757954e-07,2.313251450831039e-06,1.5484674137637255e-07
