date,true_adj,pred_adj,naive_adj,true_raw,pred_raw,naive_raw
2020-05-08 10:00:00,-8.687707098907096e-06,2.687807182155666e-06,-1.3010589742941048e-06,8.853656011580105e-06,2.0229170292642867e-05,1.6240304136193098e-05
2020-05-08 10:30:00,-7.705587093481084e-06,2.687807182155666e-06,-8.687707098907096e-06,5.925684266717071e-06,1.631907854235382e-05,4.943564261291059e-06
2020-05-08 11:00:00,-5.4711364467064664e-06,2.687807182155666e-06,-7.705587093481084e-06,4.433369009188257e-06,1.259231263805039e-05,2.198918362413639e-06
2020-05-11 08:30:00,2.387607521621947e-06,2.687807182155666e-06,-5.4711364467064664e-06,7.380871147225492e-06,7.68107080775921e-06,-4.778728211029218e-07
2020-05-11 09:00:00,-2.318000421506748e-06,2.687807182155666e-06,2.387607521621947e-06,3.4589775348256194e-06,8.464785138488033e-06,8.164585477954314e-06
2020-05-11 09:30:00,-2.7033378637617306e-06,2.682832700884319e-06,-2.318000421506748e-06,2.3329536660579385e-06,7.719124230703988e-06,2.7182911083129213e-06
2020-05-11 10:00:00,-1.099934316282769e-05,2.682832700884319e-06,-2.7033378637617306e-06,5.492319396854994e-06,1.9174495260567003e-05,1.3788324695920954e-05
2020-05-11 10:30:00,-5.7454475217302135e-06,2.682832700884319e-06,-1.099934316282769e-05,6.9526975115512655e-06,1.5380977734165798e-05,1.6988018704537885e-06
2020-05-11 11:00:00,-1.8917929356312883e-06,2.682832700884319e-06,-5.7454475217302135e-06,7.831539621415667e-06,1.2406165257931274e-05,3.977885035316742e-06
2020-05-12 08:30:00,-3.137209848125169e-06,2.682832700884319e-06,-1.8917929356312883e-06,1.8560537774783757e-06,7.676096326487864e-06,3.1014706899722563e-06
2020-05-12 09:00:00,-3.629155201213545e-06,2.6739571694633923e-06,-3.137209848125169e-06,1.3271885696207084e-06,7.630300940297645e-06,1.8191339227090844e-06
2020-05-12 09:30:00,-3.1196431476830496e-06,2.6739571694633923e-06,-3.629155201213545e-06,1.2726062659402621e-06,7.066206583086704e-06,7.630942124097667e-07
2020-05-12 10:00:00,-2.3119151181101743e-06,2.6739571694633923e-06,-3.1196431476830496e-06,1.3629979821575717e-05,1.8615852109149283e-05,1.2822251792002841e-05
2020-05-12 10:30:00,-2.080391457254853e-06,2.6739571694633923e-06,-2.3119151181101743e-06,1.0231915519558414e-05,1.498626414627666e-05,1.0000391858703093e-05
2020-05-12 11:00:00,-2.7513673012560126e-06,2.6739571694633923e-06,-2.080391457254853e-06,6.48993347490287e-06,1.1915257945622275e-05,7.160909318904029e-06
2020-05-13 08:30:00,-3.220058688618107e-06,2.6703298772190465e-06,-2.7513673012560126e-06,1.307333374470323e-06,7.1977219403074765e-06,1.7760247618324173e-06
2020-05-13 09:00:00,2.013726520570229e-07,2.6703298772190465e-06,-3.220058688618107e-06,5.157716422891276e-06,7.6266736480533e-06,1.7362850822161464e-06
2020-05-13 09:30:00,1.4428210837994686e-05,2.6703298772190465e-06,2.013726520570229e-07,1.8392085515654697e-05,6.634204554879057e-06,4.165247329717033e-06
2020-05-13 10:00:00,8.511005814446239e-06,2.6703298772190465e-06,1.4428210837994686e-05,2.401125599498713e-05,1.817058005775994e-05,2.9928461018535578e-05
2020-05-13 10:30:00,2.991795616449463e-06,2.6703298772190465e-06,8.511005814446239e-06,1.5080615698525353e-05,1.4759149959294936e-05,2.059982589652213e-05
2020-05-13 11:00:00,3.3113504753325453e-06,2.6790194169734605e-06,2.991795616449463e-06,1.173933753152666e-05,1.1107006473167575e-05,1.1419782672643577e-05
2020-05-14 08:30:00,5.304242172986106e-06,2.6790194169734605e-06,3.3113504753325453e-06,9.357837360796928e-06,6.732614604784283e-06,7.364945663143368e-06
2020-05-14 09:00:00,1.2863071776872818e-05,2.6790194169734605e-06,5.304242172986106e-06,1.768129157146218e-05,7.497239211562823e-06,1.0122461967575468e-05
2020-05-14 09:30:00,2.6580707524219687e-06,2.6790194169734605e-06,1.2863071776872818e-05,6.621945430081979e-06,6.642894094633471e-06,1.6826946454532827e-05
2020-05-14 10:00:00,1.2872970899588145e-05,2.6790194169734605e-06,2.6580707524219687e-06,2.8373221080129038e-05,1.8179269597514353e-05,1.815832093296286e-05
2020-05-14 10:30:00,1.2001449515324522e-05,2.691858298931038e-06,1.2872970899588145e-05,2.4090269597400412e-05,1.4780678381006928e-05,2.4961790981664035e-05
2020-05-14 11:00:00,1.983274055138597e-05,2.691858298931038e-06,1.2001449515324522e-05,2.8260727607580086e-05,1.1119845355125153e-05,2.042943657151864e-05
2020-05-15 08:30:00,7.89737606668738e-06,2.691858298931038e-06,1.983274055138597e-05,1.1950971254498202e-05,6.74545348674186e-06,2.3886335739196794e-05
2020-05-15 09:00:00,5.690648510880164e-06,2.691858298931038e-06,7.89737606668738e-06,1.0508868305469526e-05,7.5100780935204005e-06,1.2715595861276742e-05
