n_samples,mse_adj,mae_adj,mse_raw,mae_raw,qlike_filtered,qlike_nofilter,exp_id,experiment_name,model,segment,qlike,delta_mse_raw,delta_mae_raw,delta_qlike,oos_r2
26911,0.5266758324353461,0.5508301482632504,3.7634867988984866e-10,4.412075638380726e-06,0.3125845936249182,0.31296169893641257,0,naive_baseline,naive,MORNING,0.31296169893641257,0.0,0.0,0.0,0.0
40056,0.3904218087261299,0.47445914430566843,1.8060613622305505e-10,3.32728630494048e-06,0.2202863369697973,0.2203091578661592,0,naive_baseline,naive,MIDDAY,0.2203091578661592,0.0,0.0,0.0,0.0
21863,0.4479901036047864,0.5047567093864128,4.0088601825446145e-10,4.275327239878147e-06,0.28480733608938286,0.2849441931702645,0,naive_baseline,naive,CLOSING,0.2849441931702645,0.0,0.0,0.0,0.0
151247,0.5134316274753704,0.5287630794214304,1.8205627496531003e-10,1.481110196720261e-06,24.89320405704666,24.8929403652271,0,naive_baseline,naive,OVERNIGHT,24.8929403652271,0.0,0.0,0.0,0.0
26911,0.39729858439974586,0.4750253184300634,1.2360510786891425e-10,2.9559148933023557e-06,0.2278628378417475,0.22829291837424853,1,baseline,ridge,MORNING,0.22829291837424853,-2.527435720209344e-10,-1.45616074507837e-06,-0.08466878056216404,0.6715675795512515
40056,0.30788607497554116,0.4216142555146752,8.526656346568712e-11,2.5290338939985823e-06,0.16820189967573193,0.16829538066390465,1,baseline,ridge,MIDDAY,0.16829538066390465,-9.533957275736793e-11,-7.982524109418977e-07,-0.05201377720225456,0.5278866751217143
21863,0.3655118411440772,0.45676241278487,1.7388558804222038e-10,3.1824740969503088e-06,0.20625607372626506,0.20654105191364713,1,baseline,ridge,CLOSING,0.20654105191364713,-2.2700043021224107e-10,-1.092853142927838e-06,-0.07840314125661735,0.5662468129984846
151247,0.3620138683362207,0.43777644225632806,4.946403904296476e-11,9.497115576886533e-07,0.7019113260343822,0.7019635554669691,1,baseline,ridge,OVERNIGHT,0.7019635554669691,-1.3259223592234527e-10,-5.313986390316076e-07,-24.190976809760134,0.7283035750764981
26911,0.4126596305229904,0.47626613989353905,1.068581983374145e-07,5.922340659334719e-06,1.660941971807598,8.326993180893256,2,moments,ridge,MORNING,8.326993180893256,1.0648184965752465e-07,1.5102650209539932e-06,8.014031481956843,-282.934032580346
40056,0.3040250839890497,0.4180355475829583,1.632513551910904e-10,2.8390252031933703e-06,0.16954237906265893,0.16961736668981928,2,moments,ridge,MIDDAY,0.16961736668981928,-1.7354781031964647e-11,-4.882611017471096e-07,-0.05069179117633993,0.09609186816626691
21863,0.37394654604485716,0.45941751070128894,1.986650136420962e-09,4.181265030990064e-06,0.21781851460177626,0.21808377502716295,2,moments,ridge,CLOSING,0.21808377502716295,1.5857641181665007e-09,-9.406220888808249e-08,-0.06686041814310154,-3.955648353792027
151247,0.360589520694136,0.4356064279598535,7.037905927240695e-07,3.951140239517798e-06,29.973656001710765,30.762035539486863,2,moments,ridge,OVERNIGHT,30.762035539486863,7.036085364491041e-07,2.470030042797537e-06,5.869095174259762,-3864.7859656755777
26171,0.383585374963894,0.46966359130012264,1.647842062745899e-10,3.2718875408293775e-06,0.22986950073674967,0.22986950073674967,3,liquidity,ridge,MORNING,0.22986950073674967,-2.1156447361525876e-10,-1.1401880975513482e-06,-0.0830921981996629,0.5621501679697145
39257,0.2985074043483728,0.41547353542157345,1.0145735289829266e-10,2.680174112685185e-06,0.17005353771707046,0.17014735888312071,3,liquidity,ridge,MIDDAY,0.17014735888312071,-7.914878332476239e-11,-6.471121922552948e-07,-0.05016179898303849,0.43823972418639645
21790,0.37605822516810944,0.45674633190413544,2.0460984649787847e-10,3.47651875040946e-06,0.22675992440044843,0.23617597538220364,3,liquidity,ridge,CLOSING,0.23617597538220364,-1.9627617175658298e-10,-7.988084894686867e-07,-0.04876821778806084,0.4896059299129688
81212,0.4323540127555892,0.4857113161533211,8.431822475422463e-11,1.1790583746899474e-06,0.28084788094282276,0.28095781297805955,3,liquidity,ridge,OVERNIGHT,0.28095781297805955,-9.773805021108539e-11,-3.020518220303136e-07,-24.611982552249042,0.5368562562850905
26144,0.38810090597352187,0.47090860679398544,1.65833429094213e-10,3.316745376120836e-06,0.23361954828156387,0.2421170887628287,4,market_ew,ridge,MORNING,0.2421170887628287,-2.1051525079563566e-10,-1.0953302622598898e-06,-0.07084461017358387,0.5593622670796936
39257,0.29636783528405586,0.41438560519591994,1.1578606447210478e-10,2.734654174718244e-06,0.16903607734886203,0.16911803604040487,4,market_ew,ridge,MIDDAY,0.16911803604040487,-6.482007175095027e-11,-5.92632130222236e-07,-0.05119112182575433,0.35890293157534336
21790,0.369151188306552,0.45533739835930437,2.0353308991395053e-10,3.533486125669853e-06,0.22154674875416575,0.22167512572639267,4,market_ew,ridge,CLOSING,0.22167512572639267,-1.9735292834051092e-10,-7.41841114208294e-07,-0.06326906744387181,0.49229187188873624
77439,0.44163204581379484,0.4902001299586171,9.060834302199232e-11,1.1843770595187481e-06,0.2925877683979687,0.2927394802745284,4,market_ew,ridge,OVERNIGHT,0.2927394802745284,-9.144793194331771e-11,-2.967331372015128e-07,-24.600200884952574,0.5023058499946935
26144,0.38599098522666,0.46986224646376407,1.42403966232119e-10,3.1803267014009147e-06,0.23226016938678107,0.2322736924051592,5,market_vw,ridge,MORNING,0.2322736924051592,-2.3394471365772966e-10,-1.231748936979811e-06,-0.08068800653125338,0.6216169370547588
39257,0.2976966391185558,0.4145356854664625,1.0466652058936668e-10,2.728247364999401e-06,0.17196123755658937,0.17203581838556284,5,market_vw,ridge,MIDDAY,0.17203581838556284,-7.593961563368836e-11,-5.99038939941079e-07,-0.04827333948059637,0.4204708501149719
21790,0.3743000971762322,0.4571628941277701,6.310722757300877e-09,4.03734203977711e-06,0.22698202275141677,0.22894411616763605,5,market_vw,ridge,CLOSING,0.22894411616763605,5.909836739046415e-09,-2.379852001010364e-07,-0.056000077002628434,-14.741937782662104
