n_samples,mse_adj,mae_adj,mse_raw,mae_raw,qlike_filtered,qlike_nofilter,exp_id,experiment_name,model,segment,qlike,delta_mse_raw,delta_mae_raw,delta_qlike,oos_r2
17960,0.3999423712124543,0.4842828325293277,5.963939823327904e-10,5.261332520928378e-06,0.22582725064497355,0.22616890434886977,0,naive_baseline,naive,GLOBAL_MORNING,0.22616890434886977,0.0,0.0,0.0,0.0
22347,0.32114167291017853,0.44050086479987227,1.0052962847137036e-10,2.7136835806924648e-06,0.1749576940056098,0.17511755560898193,0,naive_baseline,naive,GLOBAL_MIDDAY,0.17511755560898193,0.0,0.0,0.0,0.0
17577,0.3673081722309495,0.4622910157275143,3.542270315413896e-10,3.8864247981601326e-06,0.21199296480050403,0.21210774780255387,0,naive_baseline,naive,GLOBAL_CLOSING,0.21210774780255387,0.0,0.0,0.0,0.0
159951,0.5056451921509506,0.5264360565226459,1.246772835885278e-10,1.523258875530036e-06,28.033127038024002,28.032324749297306,0,naive_baseline,naive,GLOBAL_OVERNIGHT,28.032324749297306,0.0,0.0,0.0,0.0
17960,0.25529633830131837,0.38682985762126953,1.5799188778591968e-10,3.306857957331459e-06,0.13177399380502433,0.13215167328140137,1,baseline,ridge,GLOBAL_MORNING,0.13215167328140137,-4.3840209454687065e-10,-1.9544745635969188e-06,-0.0940172310674684,0.7350880584543531
22347,0.26459590930970467,0.39924097090636845,4.5102779892841085e-11,2.0624132910377607e-06,0.14524038378158047,0.14531393610051294,1,baseline,ridge,GLOBAL_MIDDAY,0.14531393610051294,-5.542684857852928e-11,-6.512702896547041e-07,-0.029803619508468993,0.5513483877473414
17577,0.3106802399454019,0.4204761570788135,1.3080462891454194e-10,2.8104168124239326e-06,0.17616537464625343,0.17655359647404736,1,baseline,ridge,GLOBAL_CLOSING,0.17655359647404736,-2.2342240262684765e-10,-1.0760079857362e-06,-0.035554151328506506,0.6307322218031852
159951,0.36159937585490476,0.43894010486785456,5.199732639594919e-11,1.0365219483578868e-06,0.7295120684157393,0.7295625670404267,1,baseline,ridge,GLOBAL_OVERNIGHT,0.7295625670404267,-7.267995719257862e-11,-4.867369271721492e-07,-27.302762182256878,0.5829446640211069
17960,0.26254762065596104,0.38152875467855424,8.058540138757679e-10,4.13911207301769e-06,2.77292320160308,2.77315884046889,2,moments,ridge,GLOBAL_MORNING,2.77315884046889,2.0946003154297758e-10,-1.1222204479106877e-06,2.54698993612002,-0.3512108400619274
22347,0.2535442158013063,0.3885959699980452,3.159331056403986e-10,2.4415959525974778e-06,0.1408446583663486,0.140925530804653,2,moments,ridge,GLOBAL_MIDDAY,0.140925530804653,2.1540347716902827e-10,-2.7208762809498704e-07,-0.034192024804328924,-2.142686493966031
