n_samples,mse_adj,mae_adj,mse_raw,mae_raw,qlike_filtered,qlike_nofilter,exp_id,experiment_name,model,segment,qlike,delta_mse_raw,delta_mae_raw,delta_qlike,oos_r2
217835,0.46684025902421356,0.5089689689820541,1.7961427801234075e-10,2.144259132512102e-06,20.63760777048254,20.63718841965377,0,naive_baseline,naive,GLOBAL,20.63718841965377,0.0,0.0,0.0,0.0
217835,0.33877501541858296,0.4290812788615068,6.638797625458903e-11,1.4720836469725643e-06,0.5757102340445953,0.5757501381692919,1,baseline,ridge,GLOBAL,0.5757501381692919,-1.1322630175775172e-10,-6.721754855395378e-07,-20.06143828148448,0.6303858635891535
217835,0.3336333091226633,0.4239553618945318,2.7031085849542813e-10,1.7337618006214966e-06,16.069516297364043,16.06926981791715,2,moments,ridge,GLOBAL,16.06926981791715,9.069658048308738e-11,-4.1049733189060547e-07,-4.567918601736622,-0.50495195307834
139629,0.36316252457026743,0.44760017347525505,1.0015801018073087e-10,1.9049431351245878e-06,0.23434679709884706,0.23442495553593024,3,liquidity,ridge,GLOBAL,0.23442495553593024,-7.945626783160988e-11,-2.393159973875143e-07,-20.40276346411784,0.44237166839348196
135359,0.366840856965697,0.44891027609491857,9.713073232366987e-11,1.8592040955829817e-06,0.24014820030571993,0.24022944410640854,4,market_ew,ridge,GLOBAL,0.24022944410640854,-8.248354568867088e-11,-2.8505503692912037e-07,-20.396958975547363,0.45922599584763346
135359,0.3661885137950958,0.4490029078168901,9.632688740953746e-11,1.8639129375132046e-06,0.23942446697742986,0.23950766341972007,5,market_vw,ridge,GLOBAL,0.23950766341972007,-8.328739060280329e-11,-2.8034619499889743e-07,-20.397680756234053,0.46370139125064913
144666,0.33811559957957055,0.42908169901398086,6.719830834350115e-11,1.185709565625619e-06,0.5433753941878706,0.5434085520987479,6,sentiment,ridge,GLOBAL,0.5434085520987479,-1.124159696688396e-10,-9.585495668864831e-07,-20.093779867555025,0.625874350930586
20414,0.31859574691285986,0.4234486774475381,1.2835399239073653e-10,2.899643573287412e-06,0.1970140445594738,0.1970173987266952,7,implied_vol,ridge,GLOBAL,0.1970173987266952,-5.126028562160422e-11,7.553844407753099e-07,-20.440171020927075,0.2853909287661546
42750,0.3800007812760079,0.4665134836368239,6.85401629131556e-11,1.8839003133696215e-06,0.22098417645285198,0.22097632503522396,8,vol_demand,ridge,GLOBAL,0.22097632503522396,-1.1107411509918515e-10,-2.6035881914248056e-07,-20.416212094618547,0.618403594237389
18716,0.3212590428855393,0.42200573229024896,3.0847290763749054e-05,4.3926407679688455e-05,0.19490917290346862,0.19490560134717283,9,all_features,ridge,GLOBAL,0.19490560134717283,3.084711114947104e-05,4.178214854717635e-05,-20.442282818306598,-171740.86320326733
214711,13.520264590603,0.8586540955945661,1.4089562093839583e-10,1.6977378121845691e-06,0.20583373974639638,0.2058812676997026,10,baseline,xgboost,GLOBAL,0.2058812676997026,-3.871865707394492e-11,-4.4652132032753295e-07,-20.43130715195407,0.21556558589002972
214711,10.855685589631156,0.8474204525019084,1.3253065751956888e-10,1.8048133120242583e-06,0.20278356407978493,0.20282417361824956,11,moments,xgboost,GLOBAL,0.20282417361824956,-4.708362049277186e-11,-3.394458204878438e-07,-20.43436424603552,0.26213740362855165
214711,11.547981761970387,0.8533381897577862,8.698386360150323e-11,1.6581904768423506e-06,0.19716022035551908,0.19720378480323775,12,liquidity,xgboost,GLOBAL,0.19720378480323775,-9.263041441083751e-11,-4.860686556697515e-07,-20.439984634850532,0.5157185466317614
214711,12.173806930366862,0.8663291631698946,1.0683444017503588e-10,1.71735442529741e-06,0.20822077489769025,0.2082240533579855,13,market_ew,xgboost,GLOBAL,0.2082240533579855,-7.277983783730487e-11,-4.2690470721469206e-07,-20.428964366295787,0.40520073706113935
214711,12.84376967217067,0.8709130906396989,9.10623602549098e-11,1.692158344416282e-06,0.21182939586549587,0.21183158428010113,14,market_vw,xgboost,GLOBAL,0.21183158428010113,-8.855191775743094e-11,-4.5210078809582016e-07,-20.42535683537367,0.4930115731186293
214711,11.831624024722194,0.8562030974074455,1.3796094924504774e-10,1.716439563710815e-06,0.2050612330682162,0.20510877071043576,15,sentiment,xgboost,GLOBAL,0.20510877071043576,-4.165332876729301e-11,-4.27819568801287e-07,-20.432079648943336,0.2319043298129736
214711,12.070868545442252,0.8515531782184332,1.2363543785639722e-10,1.6910656515898494e-06,0.20480616917707306,0.20484794592721722,16,implied_vol,xgboost,GLOBAL,0.20484794592721722,-5.5978840155943526e-11,-4.5319348092225267e-07,-20.432340473726555,0.31166141564813343
214711,12.893658427996947,0.8618464278564777,1.5554479537966664e-10,1.7239361890973288e-06,0.22386264253751634,0.22390993615287044,17,vol_demand,xgboost,GLOBAL,0.22390993615287044,-2.4069482632674105e-11,-4.203229434147733e-07,-20.4132784835009,0.13400651050146672
158889,10.871669381431195,0.8061942577326906,6.586549357574096e-11,1.6889265400141427e-06,0.18640104953968656,0.1864563346185948,18,all_features,xgboost,GLOBAL,0.1864563346185948,-1.1374878443659979e-10,-4.553325924979594e-07,-20.450732085035177,0.6332947786521985
