n_samples,mse_adj,mae_adj,mse_raw,mae_raw,qlike_filtered,qlike_nofilter,exp_id,experiment_name,model,qlike,delta_mse_raw,delta_mae_raw,delta_qlike
159787,0.35811937683585876,0.4421912307693975,6.142324589341215e-11,1.2545710863472595e-06,0.4778633160295124,0.47790631506700626,6,sentiment,ridge,0.47790631506700626,-1.6209802084118523e-10,-1.117568273541296e-06,-15.302277135335775
46766,0.3414332714368901,0.4404560867823521,7.091842565416604e-11,2.255615756135149e-06,0.20305781657107383,0.20305688611151396,7,macro_vol,ridge,0.20305688611151396,-1.5260284108043132e-10,-1.1652360375340683e-07,-15.577126564291268
240077,0.35725656248279997,0.44098417239396415,7.507892321438649e-11,1.6414278023260341e-06,0.5146775101618947,0.514711194266604,1,baseline,ridge,0.514711194266604,-1.4844234352021088e-10,-7.307115575625215e-07,-15.265472256136176
159787,6.083240213920324,0.39592137749976497,9.275504474830331e-11,1.8874837016414125e-06,0.4257715662237005,0.425792099531051,15,sentiment,xgboost,0.425792099531051,-1.3076622198629406e-10,-4.846556582471431e-07,-15.35439135087173
168430,0.38629674541948683,0.4630998064928744,1.1637819265611489e-10,2.151345937597044e-06,0.24016747999407193,0.24139885995730295,3,liquidity,ridge,0.24139885995730295,-1.0714307407848249e-10,-2.207934222915116e-07,-15.538784590445477
66986,5.410841392143398,0.45668749110450846,1.1809952813247713e-10,2.725304402410233e-06,0.4293135936294928,0.4293371013503909,17,vol_demand,xgboost,0.4293371013503909,-1.0542173860212024e-10,3.531650425216773e-07,-15.35084634905239
164630,0.3888985639585262,0.46444378359541255,1.2350463589701493e-10,2.20360169981556e-06,0.24573972378705466,0.2458162516674414,4,market_ew,ridge,0.2458162516674414,-1.0001663083758245e-10,-1.6853766007299559e-07,-15.534367198735339
240077,13.980998484175613,0.9024652079862541,1.3057939923857316e-10,1.9244454938185175e-06,0.2233926599666367,0.22339191538365036,10,baseline,xgboost,0.22339191538365036,-9.294186749602422e-11,-4.4769386607003814e-07,-15.55679153501913
240077,10.133650041434445,0.8904679071845475,1.4548877109769174e-10,2.0734877992983335e-06,0.2195639074332842,0.21956311044169782,11,moments,xgboost,0.21956311044169782,-7.803249563690564e-11,-2.986515605902221e-07,-15.560620339961083
46766,5.846922421206871,0.4360944106575275,1.607688995048245e-10,3.5381349812879728e-06,0.39568089718264227,0.3984081880993813,16,macro_vol,xgboost,0.3984081880993813,-6.275236722977288e-11,1.1659956213994172e-06,-15.3817752623034
44614,7.231922826294109,0.5144827598004853,1.7308615759328332e-10,3.5945544302038723e-06,0.384446305355177,0.38444319509023583,18,all_features,xgboost,0.38444319509023583,-5.043510914131406e-11,1.2224150703153167e-06,-15.395740255312544
168430,12.332078830530957,1.0056051529838663,1.7690665419926076e-10,2.5411826958795555e-06,0.24965239175422918,0.24967721764580603,12,liquidity,xgboost,0.24967721764580603,-4.661461253533662e-11,1.6904333599099992e-07,-15.530506232756975
164630,5.310786063590303,0.44505962114128916,1.8107350797782407e-10,2.923120939022667e-06,0.42484879871186515,0.4249184624135941,14,market_vw,xgboost,0.4249184624135941,-4.2447758756773304e-11,5.509815791341112e-07,-15.355264987989187
164630,13.46190671932426,0.9551065620850959,2.2043266708195238e-10,2.6888776699021862e-06,0.27477118337797746,0.2748387086536358,13,market_ew,xgboost,0.2748387086536358,-3.0885996526449974e-12,3.167383100136306e-07,-15.505344741749145
240077,0.4884329206582898,0.5199900490875362,2.2352126673459738e-10,2.3721393598885556e-06,15.780273657860539,15.780183450402781,0,naive_baseline,naive,15.780183450402781,0.0,0.0,0.0
164630,0.3894029554277524,0.4643224620624471,9.326223872769524e-10,2.242274560445628e-06,0.24563523363154313,0.24595433567145625,5,market_vw,ridge,0.24595433567145625,7.09101120542355e-10,-1.2986479944292763e-07,-15.534229114731325
240077,0.35820502861113007,0.4394008606853811,4.555698800027142e-07,4.007502627079455e-06,19.117521849883726,20.361448458391823,2,moments,ridge,20.361448458391823,4.553463587359796e-07,1.635363267190899e-06,4.5812650079890425
66986,0.5715489623603826,0.48268997480780934,1394752800.5411468,865.5326999224375,0.3108487340097903,3.660215059306247e+29,8,vol_demand,ridge,3.660215059306247e+29,1394752800.5411468,865.5326975502982,3.660215059306247e+29
44614,0.42960814015078336,0.4649149103215844,4364506504.049501,374.61762959178947,0.24091720767810518,57.348491188909,9,all_features,ridge,57.348491188909,4364506504.049501,374.6176272196501,41.56830773850622
