n_samples,mse,mae,qlike,exp_id,experiment_name,model,segment,horizon,cb_drop,delta_mse,delta_mae,delta_qlike,oos_r2
221915,0.22480740914395578,0.34306991521398034,0.35179318083724004,0,naive_baseline,naive,GLOBAL,1,False,0.0,0.0,0.0,0.0
222058,0.06293512871596679,0.18701178986111627,0.13804254783175196,1,baseline,ridge,GLOBAL,1,False,-0.16187228042798898,-0.15605812535286406,-0.21375063300548808,0.7200486898736234
217214,0.06168698662927956,0.1850748712082953,0.13218095213260872,2,moments,ridge,GLOBAL,1,False,-0.16312042251467623,-0.15799504400568504,-0.21961222870463132,0.7256007403662652
203245,0.06179813806055818,0.18550840499495733,0.13132724710047422,3,liquidity,ridge,GLOBAL,1,True,-0.1630092710833976,-0.157561510219023,-0.22046593373676582,0.7251063107934062
200499,0.062011611595174924,0.18601123551915247,0.1333596486857811,4,market_ew,ridge,GLOBAL,1,True,-0.16279579754878085,-0.15705867969482787,-0.21843353215145894,0.7241567267230695
200499,0.061905477562108444,0.18583035349864802,0.13307074609761593,5,market_vw,ridge,GLOBAL,1,True,-0.16290193158184735,-0.15723956171533232,-0.2187224347396241,0.7246288376444605
138087,0.06495432761445992,0.18789233816587494,0.139166637181388,6,sentiment,ridge,GLOBAL,1,True,-0.15985308152949584,-0.1551775770481054,-0.21262654365585204,0.7110667844009255
14416,0.058868866299840734,0.17780177777949688,0.12574182572511214,7,implied_vol,ridge,GLOBAL,1,True,-0.16593854284411505,-0.16526813743448346,-0.2260513551121279,0.7381364496659273
136657,0.0646463245005339,0.1875620126182517,0.14002636969383575,8,vol_demand,ridge,GLOBAL,1,True,-0.16016108464342188,-0.15550790259572864,-0.2117668111434043,0.7124368598583977
12838,0.05815952757804983,0.17557005735336798,0.12306493384116184,9,all_features,ridge,GLOBAL,1,True,-0.16664788156590593,-0.16749985786061236,-0.2287282469960782,0.7412917670306529
