date,true_adj,pred_adj,naive_adj,true_raw,pred_raw,naive_raw
2022-11-29 14:30:00,-2.1831925708232521e-07,1.6297133242915152e-06,-2.1107529803195316e-06,3.31597352855627e-06,5.164006109930111e-06,1.4235398053190636e-06
2022-11-29 15:00:00,-1.4520220268407351e-06,1.6297133242915152e-06,-2.1831925708232521e-07,2.360052339124e-06,5.4417876902562505e-06,3.59375510888241e-06
2022-11-29 15:30:00,4.6953195855506027e-07,1.6297133242915152e-06,-1.4520220268407351e-06,4.392354464080257e-06,5.552535829816712e-06,2.4708004786844614e-06
2022-11-29 16:00:00,-1.0054993436169337e-06,1.6297133242915152e-06,4.6953195855506027e-07,5.428056846210384e-06,8.063269514118832e-06,6.903088148382378e-06
2022-11-30 14:00:00,1.2255978737606654e-05,1.6297133242915152e-06,-1.0054993436169337e-06,1.5511196198402432e-05,4.884930785087294e-06,2.2497181171788453e-06
2022-11-30 14:30:00,1.210664789402483e-05,1.636655838410661e-06,1.2255978737606654e-05,1.5640940679663425e-05,5.170948624049257e-06,1.579027152324525e-05
2022-11-30 15:00:00,4.759936854299814e-06,1.636655838410661e-06,1.210664789402483e-05,8.399734301748579e-06,5.276453285859426e-06,1.5746445341473593e-05
2022-11-30 15:30:00,1.953693087306434e-06,1.636655838410661e-06,4.759936854299814e-06,5.876515592831631e-06,5.559478343935858e-06,8.68275935982501e-06
2022-11-30 16:00:00,3.0851847152184153e-06,1.636655838410661e-06,1.953693087306434e-06,9.518740905045733e-06,8.070212028237978e-06,8.387249277133751e-06
2022-12-01 14:00:00,-6.43666547797092e-08,1.636655838410661e-06,3.0851847152184153e-06,3.1908508060160698e-06,4.89187329920644e-06,6.340402176014194e-06
2022-12-01 14:30:00,3.235472246327452e-07,1.6445687833765987e-06,-6.43666547797092e-08,3.974281327818616e-06,5.295302886562469e-06,3.5863674484061614e-06
2022-12-01 15:00:00,-6.794044569812799e-07,1.6445687833765987e-06,3.235472246327452e-07,3.382742185877055e-06,5.706715426234934e-06,4.38569386749108e-06
2022-12-01 15:30:00,-8.765968759483542e-07,1.6445687833765987e-06,-6.794044569812799e-07,3.323840114455883e-06,5.845005773780836e-06,3.5210325334229574e-06
2022-12-01 16:00:00,-1.2410993791001145e-06,1.6445687833765987e-06,-8.765968759483542e-07,5.677222589407894e-06,8.562890751884606e-06,6.041725092559654e-06
2022-12-02 14:00:00,-1.6443125571973902e-06,1.6445687833765987e-06,-1.2410993791001145e-06,1.5780813429877815e-06,4.8669626835617705e-06,1.9812945210850573e-06
2022-12-02 14:30:00,-6.78811222511721e-07,1.6363823078791029e-06,-1.6443125571973902e-06,2.9719228806741496e-06,5.2871164110649734e-06,2.0064215459884803e-06
2022-12-02 15:00:00,-1.0163227738084542e-06,1.6363823078791029e-06,-6.78811222511721e-07,2.45484243035776e-06,5.107547512045317e-06,2.7923539816544934e-06
2022-12-02 15:30:00,1.4609764669251582e-06,1.6363823078791029e-06,-1.0163227738084542e-06,5.383798972450355e-06,5.5592048134042995e-06,2.9064997317167424e-06
2022-12-02 16:00:00,-2.227056447357018e-06,1.6363823078791029e-06,1.4609764669251582e-06,4.206499742470299e-06,8.06993849770642e-06,7.894532656752476e-06
2022-12-05 14:00:00,3.9180089134608554e-07,1.6363823078791029e-06,-2.227056447357018e-06,3.3050347906492697e-06,4.549616207182287e-06,6.861774519461662e-07
2022-12-05 14:30:00,5.295473424686233e-08,1.6349158613593318e-06,3.9180089134608554e-07,3.703688837432733e-06,5.285649964545202e-06,4.0425349945319565e-06
2022-12-05 15:00:00,1.05714106358702e-06,1.6349158613593318e-06,5.295473424686233e-08,4.274487425314568e-06,4.852262223086879e-06,3.27030109597441e-06
2022-12-05 15:30:00,1.3346983102261664e-07,1.6349158613593318e-06,1.05714106358702e-06,4.333906821426854e-06,5.835352851763569e-06,5.2575780539912574e-06
