date,true_adj,pred_adj,true_raw,pred_raw
2011-12-13 01:00:00,0.7347128081773068,0.9024821519851685,1.0751383899067857e-06,1.700063757193379e-06
2011-12-13 01:30:00,1.0369714248963353,0.8014297485351562,1.9441655720746782e-06,1.2319377571272265e-06
2011-12-13 02:00:00,0.8600633232632311,0.8886643648147583,1.197266903948433e-06,1.3414896846884892e-06
2011-12-13 02:30:00,0.6438920190049113,0.8594509363174438,1.7745540733256832e-06,3.328900693055933e-06
2011-12-13 03:00:00,0.7293479347986879,0.8012509942054749,2.228990687911753e-06,2.853942357096799e-06
2011-12-13 03:30:00,0.9006346278058083,0.8070648908615112,7.073323755656055e-06,6.0208040507677194e-06
2011-12-13 04:00:00,0.8894549831085108,0.8535793423652649,5.195878882082687e-06,5.041915945055137e-06
2011-12-13 04:30:00,1.1065620809378272,0.8417989611625671,6.7781009532789025e-06,4.138974879618704e-06
2011-12-13 05:00:00,0.8211150635338638,0.9244946241378784,3.0773024696824597e-06,4.0793680045208065e-06
2011-12-13 05:30:00,0.8655077593058568,0.8491362929344177,4.087432229694208e-06,4.14755484661525e-06
2011-12-13 06:00:00,0.6644490870929283,0.8513146638870239,2.335366237331812e-06,4.040418382109712e-06
2011-12-13 06:30:00,0.7356819505844797,0.7913339138031006,3.2216394026915607e-06,3.9601694991025065e-06
2011-12-13 07:00:00,0.8187755262472631,0.798740804195404,2.8780818826523413e-06,2.906774629677628e-06
2011-12-13 07:30:00,0.9197243227786868,0.8066652417182922,3.911084887383602e-06,3.1893654359090095e-06
2011-12-13 08:00:00,0.8814066119897979,0.8267568945884705,2.6761923037249895e-06,2.489274593586279e-06
2011-12-13 08:30:00,0.5052489052007203,0.803453266620636,3.1430564222795032e-06,8.429376966891518e-06
2011-12-13 09:00:00,0.8233177096972171,0.7196933627128601,5.780839053648793e-06,4.750605095764712e-06
2011-12-13 09:30:00,0.6205766276673689,0.8194047212600708,2.807701154209214e-06,5.1800349984919665e-06
2011-12-13 10:00:00,0.7134501364350412,0.7546545267105103,6.933334815304109e-06,8.289763388024004e-06
2011-12-13 10:30:00,0.6740267446634223,0.7677366733551025,5.129663883103389e-06,7.096537521174344e-06
2011-12-13 11:00:00,1.003924472362478,0.7572298645973206,7.815696248870306e-06,4.74965920378986e-06
2011-12-13 11:30:00,0.797971445766234,0.8389021158218384,4.60647098976791e-06,5.373940067186632e-06
2011-12-13 12:00:00,0.6830229501432789,0.8029583692550659,3.2663175748504782e-06,4.78781396610998e-06
2011-12-13 12:30:00,0.5050859230931488,0.7993439435958862,1.4849990060972393e-06,3.946856754081273e-06
2011-12-13 13:00:00,0.609042105542848,0.7319043278694153,2.5355555034960013e-06,3.928940842175754e-06
2011-12-13 13:30:00,0.8542870360212323,0.7497161626815796,3.943743943504416e-06,3.2485848313289125e-06
2011-12-13 14:00:00,0.7477932841316798,0.790630578994751,2.894668110731348e-06,3.4381575926995953e-06
2011-12-13 14:30:00,1.4398409693822216,0.7587457299232483,1.2727281830711531e-05,3.7742430528426285e-06
2011-12-13 15:00:00,1.2906148752321773,0.9972522258758545,9.488372737596555e-06,5.887781816489627e-06
2011-12-13 15:30:00,1.2707066266561493,1.0215795040130615,1.4497595502632366e-05,9.721188821027143e-06
2011-12-13 16:00:00,1.4369010788026115,1.0483745336532593,2.7408281737209933e-05,1.5109102380285006e-05
2011-12-13 16:30:00,0.5355377975338551,1.1592704057693481,1.0859321350546718e-06,5.236533817383299e-06
2011-12-13 17:00:00,0.8320491306023787,0.8787044882774353,1.3370813787331674e-06,1.5667293883569296e-06
2011-12-13 17:30:00,0.6417131598988713,0.9162700772285461,5.298586682772078e-07,1.13054928664345e-06
2011-12-13 18:00:00,0.5139596825433295,0.8064278364181519,2.5022798416668553e-07,6.530688702615143e-07
2011-12-13 18:30:00,0.5050859230931488,0.7626962661743164,4.475926785457836e-06,1.0891833833960439e-05
2011-12-13 19:00:00,0.7322187962357178,0.686511218547821,6.79598642645235e-07,6.469501814013424e-07
