date,true_adj,pred_adj,naive_adj,true_raw,pred_raw,naive_raw
2019-07-09 08:30:00,6.213168289437849e-08,8.661245942676032e-07,-4.137848346980947e-07,3.974479395933121e-07,1.2014408509665368e-06,-7.846857799916108e-08
2019-07-09 09:00:00,-7.760912635703368e-08,8.661245942676032e-07,6.213168289437849e-08,5.20671778244689e-07,1.464405498869326e-06,6.604125874961011e-07
2019-07-09 09:30:00,-9.253980101710845e-08,8.661245942676032e-07,-7.760912635703368e-08,3.435209726749181e-07,1.3021853679596298e-06,3.584516473349929e-07
2019-07-09 10:00:00,2.455718297912821e-07,8.661245942676032e-07,-9.253980101710845e-08,2.923552259801572e-06,3.544105024277893e-06,2.585440628993181e-06
2019-07-09 10:30:00,-4.979649652969524e-07,8.661245942676032e-07,2.455718297912821e-07,1.0789671443490206e-06,2.4430567039135764e-06,1.822503939437255e-06
2019-07-09 11:00:00,-7.759461258828398e-07,8.656892305225483e-07,-4.979649652969524e-07,6.230559764404143e-07,2.264691332845802e-06,9.010371370263017e-07
2019-07-10 08:30:00,-1.1173530327147266e-08,8.656892305225483e-07,-7.759461258828398e-07,3.592461729118909e-07,1.2361089337615864e-06,-4.055264226438016e-07
2019-07-10 09:00:00,2.7767246481857442e-06,8.656892305225483e-07,-1.1173530327147266e-08,3.3088226592233826e-06,1.3977872415601867e-06,5.209244807104911e-07
2019-07-10 09:30:00,3.696109135569997e-07,8.656892305225483e-07,2.7767246481857442e-06,8.056716872490263e-07,1.301750004214575e-06,3.212785421877771e-06
2019-07-10 10:00:00,8.924342783463659e-07,8.656892305225483e-07,3.696109135569997e-07,3.5704147083566556e-06,3.543669660532838e-06,3.0475913435672896e-06
2019-07-10 10:30:00,-3.500407473102522e-07,8.665883797220886e-07,8.924342783463659e-07,1.1797136091373365e-06,2.396342736169677e-06,2.422188634793955e-06
2019-07-10 11:00:00,2.4646085285481223e-06,8.665883797220886e-07,-3.500407473102522e-07,3.85583591419034e-06,2.2578157653643065e-06,1.0411866383319654e-06
2019-07-11 08:30:00,1.1762757580960396e-07,8.665883797220886e-07,2.4646085285481223e-06,4.959746320622054e-07,1.2449354359746902e-06,2.842955584800724e-06
2019-07-11 09:00:00,2.4891141417359755e-06,8.665883797220886e-07,1.1762757580960396e-07,3.021212152773614e-06,1.398686390759727e-06,6.497255868472423e-07
2019-07-11 09:30:00,-3.706273633326513e-08,8.665883797220886e-07,2.4891141417359755e-06,3.989980373587614e-07,1.3026491534141152e-06,2.925174915428002e-06
2019-07-11 10:00:00,-7.651716121903091e-07,8.680166843078041e-07,-3.706273633326513e-08,1.9128088178199807e-06,3.545997114318094e-06,2.6409176936770247e-06
2019-07-11 10:30:00,1.1411741444363092e-07,8.680166843078041e-07,-7.651716121903091e-07,1.4846787985185749e-06,2.238578068382748e-06,6.053897718846349e-07
2019-07-11 11:00:00,-8.909009811386388e-08,8.680166843078041e-07,1.1411741444363092e-07,1.3021372875283538e-06,2.259244069950022e-06,1.5053448000858486e-06
2019-07-12 08:30:00,-1.4292145718683988e-07,8.680166843078041e-07,-8.909009811386388e-08,2.354255990657616e-07,1.2463637405604057e-06,2.892569581387376e-07
2019-07-12 09:00:00,-5.622398104569568e-08,8.680166843078041e-07,-1.4292145718683988e-07,4.758740299919427e-07,1.4001146953454425e-06,3.891765538507985e-07
2019-07-12 09:30:00,-1.9801493640993205e-07,8.672415674482181e-07,-5.622398104569568e-08,2.125371004268409e-07,1.277793604284991e-06,3.5432805579107727e-07
2019-07-12 10:00:00,-1.790772707000332e-06,8.672415674482181e-07,-1.9801493640993205e-07,8.872077230099576e-07,3.545221997458508e-06,2.4799654936003575e-06
2019-07-12 10:30:00,-5.372464803420729e-07,8.672415674482181e-07,-1.790772707000332e-06,8.210291290171212e-07,2.2255171768074123e-06,-4.324970976411379e-07
