date,true_adj,pred_adj,true_raw,pred_raw
2017-06-12 10:00:00,1.3152111697370807,0.9368388236435935,3.712818230380614e-06,1.985673608268354e-06
2017-06-12 10:30:00,1.2298459864110798,1.0798946910826634,2.32454064533374e-06,1.8651689616340924e-06
2017-06-12 11:00:00,1.4764998598813206,1.0675174842718984,2.482313508300696e-06,1.3516221635887342e-06
2017-06-12 11:30:00,1.2506478919223707,1.1571603852472816,1.3340634583811592e-06,1.1825401715160572e-06
2017-06-12 12:00:00,1.1823884999714833,1.1403322023599238,1.0362253219374e-06,9.989888844662616e-07
2017-06-12 12:30:00,1.2726716401879083,1.1203083911753562,1.094910682822535e-06,8.80513990426662e-07
2017-06-12 13:00:00,1.3789004559778653,1.1555804927108737,9.879193556100663e-07,7.184873773644991e-07
2017-06-12 13:30:00,0.9722522553277212,1.1784747776444697,5.970527555433355e-07,9.071617103455187e-07
2017-06-12 14:00:00,0.8889063872292005,1.0461941641398265,5.511497465677416e-07,7.965478795725863e-07
2017-06-12 14:30:00,0.9860206822655614,1.0042156676628329,8.515482351528933e-07,9.248223408587636e-07
2017-06-12 15:00:00,0.8669220959627337,1.0046916551374474,7.373165140702655e-07,1.0368311634916031e-06
2017-06-12 15:30:00,0.9210499265009974,0.975943707069332,9.63875457299145e-07,1.1361005220815043e-06
2017-06-12 16:00:00,1.1215938196320563,0.9224587721509857,1.6132181715507705e-06,1.152074358176015e-06
2017-06-12 16:30:00,0.6283337465917944,1.0181577021645547,1.6663228509002616e-07,4.5755624056624327e-07
2017-06-12 17:00:00,1.236330263930637,0.8403540810841833,2.910333128555828e-07,1.4349562901848155e-07
2017-06-12 17:30:00,0.6875393577394122,1.0076243994255858,6.752412967459253e-08,1.5180864605127188e-07
2017-06-12 18:00:00,1.1764347636325247,0.905937408207982,1.316621011160421e-07,8.259039687944912e-08
2017-06-12 18:30:00,0.8322620289944189,1.0056741651006498,2.0886294471215517e-07,3.1927607653319e-07
2017-06-12 19:00:00,0.8318585336551019,0.9441577638823441,1.486159141189004e-07,2.016400380183005e-07
2017-06-12 19:30:00,0.9268470651372128,0.8972489211781459,1.3044210030707672e-07,1.2944856814263223e-07
2017-06-12 20:00:00,0.9251453440805253,0.9353928256480669,1.6066500548275066e-07,1.7315049322840445e-07
2017-06-12 20:30:00,1.0928222046966698,0.9486865627460351,5.613770195981842e-07,4.4536212841088584e-07
2017-06-12 21:00:00,0.8972066528200621,0.9995545245341478,2.9658630865360645e-07,3.85592538875701e-07
2017-06-12 21:30:00,0.5495346041238585,0.9486865627460351,1.482277737823301e-07,4.6504734643086555e-07
2017-06-12 22:00:00,0.9082383658591741,0.8298533565983415,2.965884985232875e-07,2.6466312802087693e-07
2017-06-12 22:30:00,0.8819820065346323,0.9410219815726321,2.223656239260439e-07,2.666953809325174e-07
2017-06-12 23:00:00,0.6587553125337365,0.9431854332916588,9.533505185427094e-08,2.058567234398479e-07
2017-06-12 23:30:00,1.0793963584062651,0.832715519278401,2.1185204107563276e-07,1.3471254481809588e-07
2017-06-13 00:00:00,0.8284458371004674,0.9565550055073108,1.376204612965886e-07,1.929880271321787e-07
2017-06-13 00:30:00,0.9607121579088305,0.915696121627526,1.3762700094681474e-07,1.3210657047606773e-07
2017-06-13 01:00:00,0.9353365973697766,0.9330792656843794,1.1644506986040729e-07,1.2219896774853583e-07
2017-06-13 01:30:00,0.8946124662433491,0.9246707274963248,1.3761828152472494e-07,1.5517992167543648e-07
2017-06-13 02:00:00,0.6590414047672614,0.9320245124222972,1.0587261747025362e-07,2.2331040181833918e-07
2017-06-13 02:30:00,0.9200448665386751,0.8674005686196904,2.855565776191356e-07,2.6981876128007533e-07
2017-06-13 03:00:00,0.853505273094433,0.9246707274963248,1.7972968470214394e-07,2.2265716984666161e-07
2017-06-13 03:30:00,0.7741528161970773,0.9048032510795542,3.384427634318597e-07,4.891113731790907e-07
2017-06-13 04:00:00,0.9826281047836082,0.9014813605149293,5.810704981030087e-07,5.176154262490944e-07
2017-06-13 04:30:00,0.879573467964213,0.933511772602626,3.291605632955344e-07,3.9095571840277267e-07
2017-06-13 05:00:00,0.8778672174945419,0.9160714356722416,3.276441715809943e-07,3.769545663127199e-07
2017-06-13 05:30:00,0.6803389174735865,0.9160714356722416,2.1526527656684079e-07,4.1235149801960256e-07
2017-06-13 06:00:00,0.7386204775242385,0.8558761674203378,2.539327012439501e-07,3.63039850191468e-07
2017-06-13 06:30:00,0.7534187439203983,0.8764657814696828,2.1156234164585594e-07,3.0399297337196716e-07
2017-06-13 07:00:00,0.9089483861616571,0.8395595686026939,2.2219138351314047e-07,2.0232237426161045e-07
2017-06-13 07:30:00,0.7010917859128895,0.8914761610900507,1.8915957111814414e-07,3.241019974538878e-07
2017-06-13 08:00:00,0.7734473393170748,0.8189588140286655,1.716658702794268e-07,2.0607807320949452e-07
2017-06-13 08:30:00,0.5854447928708212,0.8570198171304256,1.3521084008056147e-07,3.0846604477694685e-07
2017-06-13 09:00:00,0.5440861582754122,0.7601997531537003,1.593767086519181e-07,3.3667663586486425e-07
2017-06-13 09:30:00,0.5972373242898434,0.7495481690655491,1.7159291051838354e-07,2.930992634089022e-07
2017-06-13 10:00:00,0.7991525591226197,0.7442191647425521,1.4615128169292824e-06,1.3760712506797305e-06
2017-06-13 10:30:00,0.8220311761462122,0.8203364555380765,1.087746189712246e-06,1.159641947059028e-06
2017-06-13 11:00:00,0.9546617020217888,0.8031095158995494,1.125693302038076e-06,8.552597278151134e-07
2017-06-13 11:30:00,0.9076207581451035,0.8554856823254575,7.392577217113715e-07,6.993476675647163e-07
2017-06-13 12:00:00,0.7524768414604983,0.8919754071712976,4.407792838663089e-07,6.562917621346958e-07
2017-06-13 12:30:00,0.816336807167126,0.857353990581933,4.774488190101409e-07,5.606268511191899e-07
2017-06-13 13:00:00,1.0612239265058339,0.8985794744687788,6.259179187145864e-07,4.7513224918776873e-07
2017-06-13 13:30:00,0.6287796707658456,0.9649451809739558,2.574100147100937e-07,6.371161012731375e-07
2017-06-13 14:00:00,0.801588486732849,0.8058891238915732,4.580485165788413e-07,4.967999567934483e-07
2017-06-13 14:30:00,0.742835538424742,0.8774219667360281,4.978553668828788e-07,7.374081070572294e-07
2017-06-13 15:00:00,1.0172890691023337,0.8307327499266208,1.0428259043673084e-06,7.432289072882584e-07
2017-06-13 15:30:00,0.6878671176517417,0.9328421194841814,5.531011943842947e-07,1.0726756289155452e-06
2017-06-13 16:00:00,1.1145169485443638,0.7909179902376458,1.6481012342924546e-06,8.929442605708666e-07
2017-06-13 16:30:00,0.7796092516630595,0.9673747008227668,2.5587010598596566e-07,4.1393697799306286e-07
2017-06-13 17:00:00,1.0526299171122546,0.8737811256033251,2.19577805399701e-07,1.6070370297488337e-07
2017-06-13 17:30:00,0.8759932198931609,0.9443222340064044,1.0701636842786242e-07,1.3097933291447465e-07
2017-06-13 18:00:00,1.046507244200473,0.8938675442490178,1.0864260808541884e-07,8.39682220163977e-08
2017-06-13 18:30:00,0.9182309928417504,0.9261509966568494,2.588217353214476e-07,2.7787058917327907e-07
2017-06-13 19:00:00,0.548289327185167,0.9008062829325423,6.22741816392217e-08,1.7792231576674868e-07
